date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:44:24	6024/6024	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223841f21-1788-574af0a274d80%22	http://petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/fonts/vc_grid/vc_grid_v1.eot?-9hbgac	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/fonts/vc_grid/vc_grid_v157a1.eot	(from http://petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/css/js_composer.min.css?ver=5.5.2)
05:44:24	6024/6024	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223841f21-1788-574af0a274d80%22	http://petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/fonts/vc_grid/vc_grid_v1.eot?	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/fonts/vc_grid/vc_grid_v1d41d.eot	(from http://petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/css/js_composer.min.css?ver=5.5.2)
05:44:25	5924/5924	---M--	200	added ('OK')	font/woff	etag:%223841f20-1724-574af0a274d80%22	http://petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/fonts/vc_grid/vc_grid_v1.woff?-9hbgac	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/fonts/vc_grid/vc_grid_v157a1.woff	(from http://petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/css/js_composer.min.css?ver=5.5.2)
05:44:25	5848/5848	---M--	200	added ('OK')	font/ttf	etag:%223841f22-16d8-574af0a274d80%22	http://petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/fonts/vc_grid/vc_grid_v1.ttf?-9hbgac	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/fonts/vc_grid/vc_grid_v157a1.ttf	(from http://petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/css/js_composer.min.css?ver=5.5.2)
05:44:26	13215/13215	---M--	200	added ('OK')	image/svg+xml	etag:%223841f1f-339f-574af0a274d80%22	http://petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/fonts/vc_grid/vc_grid_v1.svg?-9hbgac	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/fonts/vc_grid/vc_grid_v157a1.svg	(from http://petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/css/js_composer.min.css?ver=5.5.2)
05:44:26	673/673	---M--	200	added ('OK')	image/gif	etag:%223841f52-2a1-574af0a274d80%22	http://petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/images/spinner.gif	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/images/spinner.gif	(from http://petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/css/js_composer.min.css?ver=5.5.2)
05:44:26	265/265	---M--	200	added ('OK')	image/png	etag:%22384216e-109-574af0a274d80%22	http://petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/vc/remove.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/vc/remove.png	(from http://petrogas-energy.com/wp-content/plugins/js_composer_salient/assets/css/js_composer.min.css?ver=5.5.2)
05:44:27	2213/2213	---MC-	200	added ('OK')	application/json	date:Wed,%2018%20Aug%202021%2012:44:27%20GMT	http://petrogas-energy.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpetrogas-energy.com%2Fabout-us%2F	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-json/oembed/1.0/embed87cf.json	(from http://petrogas-energy.com/about-us/)
05:44:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Aug%202021%2012:44:28%20GMT	http://petrogas-energy.com/?p=3189	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/indexb1a6.html	(from http://petrogas-energy.com/about-us/)
05:44:28	2310/2310	---MC-	200	added ('OK')	text/xml	date:Wed,%2018%20Aug%202021%2012:44:28%20GMT	http://petrogas-energy.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpetrogas-energy.com%2Fabout-us%2F&format=xml	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-json/oembed/1.0/embedff51	(from http://petrogas-energy.com/about-us/)
